County,Neighborhood,"OGT 10th Grade-Reading, 2015 (CMSD)","OGT 10th Grade-Writing, 2015 (CMSD)","OGT 10th Grade-Math, 2015 (CMSD)","OGT 10th Grade-Social Studies, 2015 (CMSD)","OGT 10th Grade-Science, 2015 (CMSD)","OGT 11th Grade-Reading, 2015 (CMSD)","OGT 11th Grade-Writing, 2015 (CMSD)","OGT 11th Grade-Math, 2015 (CMSD)","OGT 11th Grade-Social Studies, 2015 (CMSD)","OGT 11th Grade-Science, 2015 (CMSD)","OGT 10th Grade-Reading, 2014 (CMSD)","OGT 10th Grade-Writing, 2014 (CMSD)","OGT 10th Grade-Math, 2014 (CMSD)","OGT 10th Grade-Social Studies, 2014 (CMSD)","OGT 10th Grade-Science, 2014 (CMSD)","OGT 11th Grade-Reading, 2014 (CMSD)","OGT 11th Grade-Writing, 2014 (CMSD)","OGT 11th Grade-Math, 2014 (CMSD)","OGT 11th Grade-Social Studies, 2014 (CMSD)","OGT 11th Grade-Science, 2014 (CMSD)","OGT 10th Grade-Reading, 2013 (CMSD)","OGT 10th Grade-Writing, 2013 (CMSD)","OGT 10th Grade-Math, 2013 (CMSD)","OGT 10th Grade-Social Studies, 2013 (CMSD)","OGT 10th Grade-Science, 2013 (CMSD)","OGT 11th Grade-Reading, 2013 (CMSD)","OGT 11th Grade-Writing, 2013 (CMSD)","OGT 11th Grade-Math, 2013 (CMSD)","OGT 11th Grade-Social Studies, 2013 (CMSD)","OGT 11th Grade-Science, 2013 (CMSD)","OGT 10th Grade-Reading, 2012 (CMSD)","OGT 10th Grade-Writing, 2012 (CMSD)","OGT 10th Grade-Math, 2012 (CMSD)","OGT 10th Grade-Social Studies, 2012 (CMSD)","OGT 10th Grade-Science, 2012 (CMSD)","OGT 10th Grade-Reading, 2011 (CMSD)","OGT 10th Grade-Writing, 2011 (CMSD)","OGT 10th Grade-Math, 2011 (CMSD)","OGT 10th Grade-Social Studies, 2011 (CMSD)","OGT 10th Grade-Science, 2011 (CMSD)","OGT 10th Grade-Reading, 2010 (CMSD)","OGT 10th Grade-Writing, 2010 (CMSD)","OGT 10th Grade-Math, 2010 (CMSD)","OGT 10th Grade-Social Studies, 2010 (CMSD)","OGT 10th Grade-Science, 2010 (CMSD)"
Cuyahoga, Bellaire-Puritas,66.67,67.02,63.92,60.64,45.83,30.77,43.75,30.43,28,19.23,77.78,75,61.11,58.33,50,-99,-99,-99,-99,-99,76.83,71.25,75.31,64.1,58.02,-99,-99,-99,31.25,22.22,65.38,72.73,61.54,54.55,49.35,72.73,80.77,62.03,58.44,50.63,64.47,57.33,57.33,59.21,43.24
Cuyahoga, Broadway-Slavic Village,63.76,57.79,52.29,47.02,33.33,22.86,26.47,12.73,38.18,6.67,69.66,61.49,39.46,44,40.14,-99,-99,-99,-99,-99,56.77,55.19,46.88,38.13,30.57,29.41,32,22.22,30.77,21.43,53.33,61.18,46.51,40.24,32.54,61.46,74.74,53.13,38.62,34.9,53.02,57.55,43.24,37.16,25.35
Cuyahoga, Brooklyn Centre,71.43,69.44,72.46,58.21,51.47,12.5,33.33,18.75,10,13.64,72.06,71.21,55.22,50,54.29,-99,-99,-99,-99,-99,70.67,67.57,69.86,56.76,54.05,21.43,0,5.56,31.25,30.43,73.08,70.89,63.29,57.5,50,65.43,74.07,56.63,43.9,40.74,67.53,71.05,54.43,55.7,40.51
Cuyahoga, Buckeye-Shaker Square,58.33,59.46,39.47,51.35,28.95,-99,-99,-99,-99,16.67,77.14,69.7,60.61,54.29,41.18,-99,-99,-99,-99,-99,61.54,48.72,51.22,37.5,31.71,-99,-99,-99,10,23.08,66.67,62.96,57.14,50,48.21,66.15,70.97,63.49,54.69,53.03,53.03,64.06,50,36.92,31.75
Cuyahoga, Buckeye-Woodhill,71.43,62,60.78,58,35.29,10,7.14,0,17.39,7.69,69.23,57.45,50,42.31,35.19,-99,-99,-99,-99,-99,71.74,62.22,48,35.42,41.18,-99,-99,-99,-99,-99,70.21,67.39,64.58,56.25,53.19,45.16,58.06,40.32,32.81,29.69,52,57.14,45.1,42.31,37.74
Cuyahoga, Central,56.86,64.36,54.55,52.53,39.6,26.32,22.73,14.81,24.14,17.95,66.3,61.8,46.81,46.24,31.58,-99,-99,-99,-99,-99,64.63,50.62,53.01,47.56,30.95,10.53,5.88,16.67,28.13,19.05,48.11,59.05,45.05,34.51,27.93,53.85,57.14,43.18,34.83,23.33,42.86,49.14,39.67,28.81,25.83
Cuyahoga, Clark-Fulton,63.38,56.94,53.42,48.65,31.08,28.57,19.05,32,28.57,26.47,69.74,66.67,61.04,56,38.16,-99,-99,-99,-99,-99,75,70.31,59.68,45.16,41.54,36.36,26.67,22.73,28,29.63,55.17,51.72,43.68,32.97,27.47,58.23,61.25,46.91,38.75,32.53,47.83,55.68,47.19,37.5,34.41
Cuyahoga, Collinwood-Nottingham,61.11,53.62,42.25,43.66,33.33,53.85,66.67,22.22,35,28.57,85.53,72.73,44.87,48,35.53,-99,-99,-99,-99,-99,69.44,57.97,52.05,51.43,47.83,25,5.26,7.69,23.08,11.11,53.91,57.39,47.01,46.61,36.75,64.65,72.63,52.53,44.55,36.54,56.3,68.42,51.88,46.15,28.47
Cuyahoga, Cudell,64.37,60.23,54.65,53.41,42.53,8.33,21.43,35,20,13.64,49.37,56.58,42.31,46.67,36.36,-99,-99,-99,-99,-99,56,51.28,51.95,37.97,34.18,21.43,23.08,25,33.33,28,49.33,62.67,52,41.03,34.62,60.47,77.01,55.81,40.48,40.45,58.51,54.44,53.76,43.48,35.79
Cuyahoga, Cuyahoga Valley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
