Neighborhood,"Grade 6 Reading/English, 2010 (CMSD)","Grade 6 Math, 2010 (CMSD)","Grade 7 Reading/English, 2010 (CMSD)","Grade 7 Math, 2010 (CMSD)","Grade 8 English, 2010 (CMSD)","Grade 8 Math, 2010 (CMSD)","Grade 4 Reading/English, 2010 (CMSD)","Grade 4 Math, 2010 (CMSD)","Grade 5 Reading/English, 2010 (CMSD)","Grade 5 Math, 2010 (CMSD)",3rd Grade English 2010,3rd Grade Math 2010,"OGT 10th Grade-Reading, 2010 (CMSD)","OGT 10th Grade-Writing, 2010 (CMSD)","OGT 10th Grade-Math, 2010 (CMSD)","OGT 10th Grade-Social Studies, 2010 (CMSD)","OGT 10th Grade-Science, 2010 (CMSD)","OGT 11th Grade Reading, 2010 (CMSD)","OGT 11th Grade Writing, 2010 (CMSD)","OGT 11th Grade Math, 2010 (CMSD)","OGT 11th Grade Social Studies, 2010 (CMSD)","OGT 11th Grade Science, 2010 (CMSD)"
 Bellaire-Puritas,57.69,42.31,69.61,54.9,68.29,57.32,66.33,56.12,46.08,36.27,52.13,62.22,64.47,57.33,57.33,59.21,43.24,,,,18.18,11.11
 Broadway-Slavic Village,54.75,32.13,42.16,20.54,44.1,23.44,52.04,38.46,28.79,13.13,40.64,34.91,53.02,57.55,43.24,37.16,25.35,15,18.18,4.44,11.11,0
 Brooklyn Centre,69.62,39.24,67.27,49.09,65.56,51.11,44.44,27.16,45.36,34.02,59.09,61.25,67.53,71.05,54.43,55.7,40.51,,,25,7.14,26.67
 Buckeye-Shaker Square,59.62,42.31,63.64,36.36,68.42,37.5,50,40.38,35.09,20.69,50,38.98,53.03,64.06,50,36.92,31.75,,,18.18,16.67,23.81
 Buckeye-Woodhill,52.81,39.33,57.14,27.14,55.56,31.75,52.56,44.87,43.66,25.35,39.19,28.17,52,57.14,45.1,42.31,37.74,20,,10,6.67,15
 Central,54.68,23.74,46.73,15.89,46.34,23.58,56.85,36.99,24.03,17.65,42.21,38.51,42.86,49.14,39.67,28.81,25.83,37.5,,14.29,6.9,5.71
 Clark-Fulton,52.63,35.79,53.06,40.82,44.34,28.44,51,39,33.68,26.32,54.08,56.99,47.83,55.68,47.19,37.5,34.41,31.58,30,8.33,21.43,21.21
 Collinwood-Nottingham,57.84,46.6,59.38,34.38,61.02,38.84,57.45,40.43,27.17,22.58,48.08,39.58,56.3,68.42,51.88,46.15,28.47,16.67,7.14,14.71,3.13,13.33
 Cudell,61.45,48.19,59.6,41.41,58.43,48.86,64.65,50.51,47.78,36.67,57.3,53.49,58.51,54.44,53.76,43.48,35.79,38.46,18.18,20,11.11,4
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,
 Detroit Shoreway,60.71,52.86,55.88,38.24,54.31,37.93,58.47,47.46,32.79,34.96,55.74,57.76,60.19,55.56,54.37,50,42.06,,30,14.29,18.18,11.76
 Downtown,,,,,,,,,,,50,,,,,,,,,,,
 Edgewater,82.35,70.59,63.16,47.37,30.77,23.08,84.62,76.92,80,70,81.82,87.88,53.33,40,40,53.33,40,,,,,
 Euclid-Green,68.97,50,30.43,13.04,53.33,40,46.15,30.77,22.22,11.11,55.56,65.38,51.43,57.14,40,41.18,34.29,,,,,16.67
 Fairfax,46.67,28.33,43.64,23.64,57.41,25.93,41.67,22.03,34.62,36.54,50.82,42.37,56.06,60.94,51.52,46.15,33.33,6.67,,8.7,8.7,12.9
 Glenville,55.85,39.47,46.13,21.36,53.23,29.32,52.33,31.65,32.87,30.8,51.03,50.36,58.65,59.82,48.3,51.04,34.5,20,25.93,7.87,13.4,12.14
 Goodrich-Kirtland Pk,71.43,52.38,80,60,50,50,61.54,69.23,8,16,33.33,52.94,55,45,75,50,35,,,,,
 Hopkins,,,,,,,,,,,,,,,,,,,,,,
 Hough,53.39,21.19,44.88,22.83,49.06,24.53,45.71,40,27.41,16.3,50.68,46.58,51.33,56.52,45.69,38.79,30.17,15.79,18.18,4.35,10.71,0
 Jefferson,74.19,50,69.23,43.08,69.53,48.41,65.93,67.41,50.91,32.73,68.7,74.59,66.1,60.34,66.1,58.26,52.54,9.09,,11.76,20,15.38
 Kamm's,85.19,69.72,69.11,57.72,79,64,77.6,73.6,62.73,50.91,72.37,73.29,65.71,62.32,69.44,63.77,56.52,,,,27.27,28.57
 Kinsman,60.47,37.21,48.53,33.82,43.1,27.59,47.69,29.23,32,13.73,40.26,31.94,38.1,47.62,30.16,30.16,22.73,,18.18,7.69,5.26,4.55
 Lee-Harvard,61.86,34.02,60.82,32.99,56.84,35.79,42.05,26.14,36.23,27.54,47.25,49.41,59.29,73.87,52.63,54.46,37.07,18.75,25,12.5,32.35,9.09
 Lee-Seville,43.18,20.45,67.86,42.86,52.83,28.3,52.5,32.5,43.18,27.27,76.32,55.56,52.17,64.29,52.11,47.83,35.29,,,18.18,7.14,23.53
 Mount Pleasant,47.37,21.64,48.21,30.95,56.59,29.12,47.1,37.01,38.36,19.86,51.53,42.31,51.33,60.54,46.46,42.6,30.8,21.43,14.29,13.04,19.57,11.84
 North Shore Collinwood,57.55,46.23,64,38,75.56,54.44,52.87,49.43,39.42,32.69,52.08,43.18,58.43,66.67,54.95,56.82,38.04,6.25,,7.14,13.04,6.06
 Ohio City,72.73,45.45,64,36,44.44,37.04,53.45,43.1,24.07,16.67,50.88,56.36,57.5,65.79,51.28,57.5,48.72,,,,,20
 Old Brooklyn,80.66,65.75,65.2,54.9,66.67,40.63,74.23,64.95,63.86,46.04,67.46,68.32,72.99,73.84,65.36,63.89,57.69,18.18,26.32,10,13.79,12.82
 St.Clair-Superior,59.09,30.3,50.72,23.19,33.33,16.09,53.95,29.87,23.64,14.55,53.13,38.33,48.48,51.52,39.44,37.14,25.35,20,20,20,12.5,9.09
 Stockyards,67.8,53.39,59.69,43.85,58.97,50.43,55.56,45.3,37.3,26.98,56.64,61.31,68.27,73.79,64.42,53.33,45.79,10.53,,4.55,4,11.54
 Tremont,58.11,45.95,58.93,48.21,63.46,30.77,56.06,43.94,36.67,31.15,42.86,44.93,62,65.96,66,52.08,42.31,,,,,23.08
 Union-Miles,58.06,25.27,45.54,24.53,46.15,21.46,43.18,44.32,31.98,16.28,40.44,41.57,52.8,61.62,46.76,43.31,32.29,20,32,5.71,21.25,15.53
 University,,,,,,,,,,,,,,,,,,,,,,
 West Boulevard,69.63,56.54,59.63,45.96,67.69,54.12,63.13,60,46.08,35.29,54.65,62.8,55.17,56.14,50,48.28,41.11,7.14,24,13.51,22.22,11.54
 _Unknown neighborhood,22.73,18.18,66.67,40,60,32,71.79,38.46,33.33,16.67,48.94,27.5,52,54.55,39.13,39.13,33.33,,,,,
_Suburb,58.11,41.89,56.67,31.11,62.5,38.64,51.28,42.31,35.06,23.38,55.36,54.64,61.19,66.41,57.78,50.75,41.35,0,36.36,16.13,20.83,8.82
