Neighborhood,"Grade 6 Reading/English, 2012 (CMSD)","Grade 6 Math, 2012 (CMSD)","Grade 7 Reading/English, 2012 (CMSD)","Grade 7 Math, 2012 (CMSD)","Grade 8 English, 2012 (CMSD)","Grade 8 Math, 2012 (CMSD)","Grade 4 Reading/English, 2012 (CMSD)","Grade 4 Math, 2012 (CMSD)","Grade 5 Reading/English, 2012 (CMSD)","Grade 5 Math, 2012 (CMSD)",3rd Grade English 2012,3rd Grade Math 2012,"OGT 10th Grade-Reading, 2012 (CMSD)","OGT 10th Grade-Writing, 2012 (CMSD)","OGT 10th Grade-Math, 2012 (CMSD)","OGT 10th Grade-Social Studies, 2012 (CMSD)","OGT 10th Grade-Science, 2012 (CMSD)","OGT 11th Grade Writing, 2012 (CMSD)","OGT 11th Grade Math, 2012 (CMSD)","OGT 11th Grade Social Studies, 2012 (CMSD)","OGT 11th Grade Science, 2012 (CMSD)","OGT 11th Grade Reading, 2012 (CMSD)"
 Bellaire-Puritas,74.77,58.49,59.26,49.07,66.27,57.83,61.29,50.54,37.66,22.08,64.52,64.52,65.38,72.73,61.54,54.55,49.35,53.33,40.74,26.47,30,45.45
 Broadway-Slavic Village,54.91,35.26,38.07,17.82,40.96,26.38,50.83,32.6,30.05,13.47,35.76,25.45,53.33,61.18,46.51,40.24,32.54,39.02,27.14,24.42,29.17,46.03
 Brooklyn Centre,75.28,50.56,55.7,35.44,60.24,40.96,69.89,62.37,50.63,27.85,62.73,52.73,73.08,70.89,63.29,57.5,50,37.5,36,40.54,41.46,61.9
 Buckeye-Shaker Square,61.7,34.04,36.54,25,64.58,43.75,43.24,37.84,31.48,14.81,50,51.79,66.67,62.96,57.14,50,48.21,50,50,50,32,60
 Buckeye-Woodhill,67.31,37.25,37.25,23.53,57.14,47.14,38.1,26.98,32.2,11.86,42.19,32.81,70.21,67.39,64.58,56.25,53.19,17.65,45.83,23.08,21.43,23.53
 Central,50.68,18.92,32.59,22.39,39.62,33.96,46.99,29.51,34.11,13.18,34.13,38.16,48.11,59.05,45.05,34.51,27.93,20.93,24.07,12,23.08,30.95
 Clark-Fulton,66.28,43.02,35.8,29.63,55.42,51.81,47.56,40.24,50.63,27.85,55.67,56.25,55.17,51.72,43.68,32.97,27.47,29.03,21.95,14.63,22.45,25
 Collinwood-Nottingham,54.22,40.96,29.41,12.94,63.54,41.67,37.35,23.17,35.63,6.9,37.04,33.33,53.91,57.39,47.01,46.61,36.75,21.74,11.9,17.39,23.21,26.67
 Cudell,73.03,64.04,44.12,29.41,65.48,52.38,58,54.55,47.83,36.23,60.67,58.43,49.33,62.67,52,41.03,34.62,36.84,30.3,35,21.05,40
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,
 Detroit Shoreway,68.82,41.94,48.62,35.78,63.03,50.42,71.57,52.94,49.06,27.36,52.25,53.21,52.24,66.15,50.72,37.5,34.25,33.33,28,37.14,39.02,43.48
 Downtown,,,,,,,,,,,,,,,,,,,,,,
 Edgewater,86.67,80,50,43.75,70,60,93.33,100,87.5,75,73.68,78.95,,,,,,,,,,
 Euclid-Green,52,24,25.71,20,62.07,41.38,79.17,58.33,50,30,67.65,70.59,58.33,78.26,58.33,62.5,41.67,,40,25,37.5,
