Neighborhood,"Grade 6 Reading/English, 2013 (CMSD)","Grade 6 Math, 2013 (CMSD)","Grade 7 Reading/English, 2013 (CMSD)","Grade 7 Math, 2013 (CMSD)","Grade 8 English, 2013 (CMSD)","Grade 8 Math, 2013 (CMSD)","Grade 4 Reading/English, 2013 (CMSD)","Grade 4 Math, 2013 (CMSD)","Grade 5 Reading/English, 2013 (CMSD)","Grade 5 Math, 2013 (CMSD)",3rd Grade English 2013,3rd Grade Math 2013,"OGT 10th Grade-Reading, 2013 (CMSD)","OGT 10th Grade-Writing, 2013 (CMSD)","OGT 10th Grade-Math, 2013 (CMSD)","OGT 10th Grade-Social Studies, 2013 (CMSD)","OGT 10th Grade-Science, 2013 (CMSD)","OGT 11th Grade-Reading, 2013 (CMSD)","OGT 11th Grade-Writing, 2013 (CMSD)","OGT 11th Grade-Math, 2013 (CMSD)","OGT 11th Grade-Social Studies, 2013 (CMSD)","OGT 11th Grade-Science, 2013 (CMSD)"
 Bellaire-Puritas,60.87,40.58,60.71,51.79,82.35,58.82,74.71,56.32,46.25,35,75.32,68.83,76.83,71.25,75.31,64.1,58.02,,,,31.25,22.22
 Broadway-Slavic Village,34.62,16.67,38.71,24.03,50.64,25.81,45.06,24.69,38.41,27.88,47.17,37.74,56.77,55.19,46.88,38.13,30.57,29.41,32,22.22,30.77,21.43
 Brooklyn Centre,58.14,40.7,63.83,35.11,67.82,40.23,76.19,59.05,31.87,35.16,54.35,55.43,70.67,67.57,69.86,56.76,54.05,21.43,0,5.56,31.25,30.43
 Buckeye-Shaker Square,56.6,28.3,50,27.78,53.66,31.71,72.92,54.17,28.57,16.67,50,58.82,61.54,48.72,51.22,37.5,31.71,,,,10,23.08
 Buckeye-Woodhill,37.74,18.87,44.9,24.49,61.22,32.65,40.43,19.15,25,20,38.3,50,71.74,62.22,48,35.42,41.18,,,,,
 Central,36.45,19.63,34.19,20.51,50.43,26.72,46.26,28.57,28.68,19.12,38.85,44.6,64.63,50.62,53.01,47.56,30.95,10.53,5.88,16.67,28.13,19.05
 Clark-Fulton,66.15,41.54,56,40,53.85,41.54,70.83,50,35.44,32.91,55.56,49.21,75,70.31,59.68,45.16,41.54,36.36,26.67,22.73,28,29.63
 Collinwood-Nottingham,53.73,23.88,47.69,27.69,69.44,50.7,46.27,32.84,16.92,6.15,38.46,43.14,69.44,57.97,52.05,51.43,47.83,25,5.26,7.69,23.08,11.11
 Cudell,55,37.97,54.55,43.18,59.57,38.3,60,40,40.59,32.67,58.54,52.44,56,51.28,51.95,37.97,34.18,21.43,23.08,25,33.33,28
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,
 Detroit Shoreway,48.94,27.96,53.95,42.11,62,43,74.47,60.64,48.86,43.18,62.96,65.43,70.69,57.89,58.33,56.9,48.33,20,21.43,5,18.18,18.52
 Downtown,,,,,45.45,18.18,,,,,16.67,36.36,,,,,,,,,,
 Edgewater,76.92,53.85,,,,,68.75,62.5,,,81.25,87.5,,,,,,,,,,
 Euclid-Green,44.44,29.63,52.38,33.33,61.54,53.85,63.33,56.67,43.33,20,51.72,37.93,57.89,58.82,52.63,44.44,42.11,,,,,23.08
 Fairfax,50,26.19,33.33,15.38,60,31.43,64.52,38.71,28.21,17.5,51.43,42.42,62.07,53.57,40,43.33,30,27.27,9.09,11.11,9.52,18.18
 Glenville,43.5,28,42.56,23.59,55.45,33.18,55.41,34.68,27.08,18.75,45.41,39.29,57.59,49.74,43,35.42,28.57,15,19.05,11.27,13.85,16.67
 Goodrich-Kirtland Pk,45.45,27.27,61.54,46.15,35.29,52.94,76.19,33.33,34.78,30.43,47.06,52.94,,,,,,,,,,
 Hopkins,,,,,,,,,,,,,,,,,,,,,,
 Hough,52.44,25.61,46.59,26.44,45.83,23.96,69.16,44.86,38.54,17.71,47.83,37.72,57.65,57.83,48.84,40,29.89,,18.18,42.86,19.05,10.34
 Jefferson,62.9,43.55,66.4,61.6,71.96,48.6,71.43,59.52,54.88,43.9,78.07,72.81,75.51,72.45,62.63,53.54,51,13.33,16.67,21.74,23.81,33.33
 Kamm's,72.22,61.11,66.04,66.98,83.33,66.67,78.15,67.8,58.25,54.37,82.69,80.77,73.24,76.39,65.28,58.33,54.17,18.18,18.75,25,8.33,23.08
 Kinsman,57.14,35.71,37.5,27.5,32.35,23.53,52.63,45.95,31.58,28.95,31.71,21.95,60.87,64.18,54.29,41.18,33.33,,,10,33.33,22.73
 Lee-Harvard,47.3,32.43,42.7,22.47,56.34,38.89,61.97,38.03,36.99,17.81,63.29,46.15,73.56,70.24,56.47,50,42.53,38.89,25,16.67,23.33,16.67
 Lee-Seville,51.52,39.39,43.18,38.64,61.11,33.33,44,24,37.93,24.14,45.45,42.42,76.47,80.65,65.71,52.94,33.33,,,,,20
 Mount Pleasant,50.48,25.71,41.79,23.13,57.66,26.13,60,37.6,30.25,18.49,49.06,39.62,67.88,69.85,59.57,45.52,41.73,39.13,26.09,21.74,15.56,15.25
 North Shore Collinwood,53.62,34.78,71.64,40.3,64.86,45.95,69.01,63.38,41.89,25.68,60,54.29,61.25,59.49,53.09,41.03,27.5,,,,,40
 Ohio City,57.69,36.54,63.27,42.86,52.27,47.73,64.29,45.24,52.83,43.4,59.52,61.9,68.29,57.5,51.22,43.59,36.59,,20,,10,
 Old Brooklyn,74.17,57.62,66.48,52.84,79.01,65.43,84.52,66.67,53.73,47.01,75.56,73.13,74.56,60,67.46,58.24,52.94,27.27,21.74,17.65,23.08,23.91
 St.Clair-Superior,56.25,37.5,29.63,24.07,52.63,47.37,76,38,20,15.56,56.86,61.22,59.09,60.87,44.44,42.55,31.91,0,14.29,6.25,7.14,21.74
 Stockyards,67.68,64.65,61.18,58.82,73.33,48.57,64.04,57.3,41.86,37.21,65.91,74.71,63.53,60.71,53.49,48.81,43.18,28,13.04,25,23.33,20.51
 Tremont,58.33,31.25,52,48,63.64,47.73,72.09,48.84,36.59,36.59,64.29,50.91,70.73,68.42,63.41,47.5,40,,18.18,,10,7.14
 Union-Miles,48.97,23.45,45.96,33.54,57.05,32.43,46.88,27.34,36.13,21.19,45.22,24.56,63.43,62.21,47.49,40.12,32.22,23.68,16.22,18.64,10.53,22.99
 University,,,,,,,,,,,,,,,,,,,,,,
 West Boulevard,68.02,46.51,61.08,54.49,63.22,52.57,66.46,46.58,45.83,38.19,58.33,52.27,64.19,62.16,59.6,52.05,52.03,25,13.79,16.67,17.07,23.21
 _Unknown neighborhood,60,24,23.53,17.65,62.5,37.5,60,36,14.29,5,37.5,25,59.09,50,36.36,22.73,17.39,,,,,0
