Neighborhood,"Grade 6 Reading/English, 2015 (CMSD)","Grade 6 Math, 2015 (CMSD)","Grade 7 Reading/English, 2015 (CMSD)","Grade 7 Math, 2015 (CMSD)","Grade 8 English, 2015 (CMSD)","Grade 8 Math, 2015 (CMSD)","Grade 4 Reading/English, 2015 (CMSD)","Grade 4 Math, 2015 (CMSD)","Grade 5 Reading/English, 2015 (CMSD)","Grade 5 Math, 2015 (CMSD)",3rd Grade English 2015,3rd Grade Math 2015,"OGT 10th Grade-Reading, 2015 (CMSD)","OGT 10th Grade-Writing, 2015 (CMSD)","OGT 10th Grade-Math, 2015 (CMSD)","OGT 10th Grade-Social Studies, 2015 (CMSD)","OGT 10th Grade-Science, 2015 (CMSD)","OGT 11th Grade-Reading, 2015 (CMSD)","OGT 11th Grade-Writing, 2015 (CMSD)","OGT 11th Grade-Math, 2015 (CMSD)","OGT 11th Grade-Social Studies, 2015 (CMSD)","OGT 11th Grade-Science, 2015 (CMSD)"
 Bellaire-Puritas,,31.71,,44.3,,34.85,58.49,40,47.22,37.97,65.22,49.44,66.67,67.02,63.92,60.64,45.83,30.77,43.75,30.43,28,19.23
 Broadway-Slavic Village,,16.91,,23.31,38.46,9.49,43.12,18.52,38.89,19.18,33.52,17.47,63.76,57.79,52.29,47.02,33.33,22.86,26.47,12.73,38.18,6.67
 Brooklyn Centre,,17.05,,37.18,27.27,26.47,41.18,42.31,52.5,18.48,59.78,42.53,71.43,69.44,72.46,58.21,51.47,12.5,33.33,18.75,10,13.64
 Buckeye-Shaker Square,,16.67,,16.33,,18.92,52,31.25,28.57,24.39,32,29.17,58.33,59.46,39.47,51.35,28.95,,,,,16.67
 Buckeye-Woodhill,,13.04,,12,,15.09,57.14,31.25,40,22.22,39.34,18.03,71.43,62,60.78,58,35.29,10,7.14,0,17.39,7.69
 Central,,8.49,,10.62,,2.78,43.59,16.84,17.95,13.33,29.61,14.38,56.86,64.36,54.55,52.53,39.6,26.32,22.73,14.81,24.14,17.95
 Clark-Fulton,25,29.21,0,18.84,,31.25,48.94,42.11,28.57,37.25,51.76,43.04,63.38,56.94,53.42,48.65,31.08,28.57,19.05,32,28.57,26.47
 Collinwood-Nottingham,,22.22,,19.67,,10.29,31.82,22.41,45.45,15.79,58.14,38.1,61.11,53.62,42.25,43.66,33.33,53.85,66.67,22.22,35,28.57
 Cudell,,26.25,,22.97,,24.19,60.56,32.26,38.71,38.96,64.42,44.9,64.37,60.23,54.65,53.41,42.53,8.33,21.43,35,20,13.64
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,
 Detroit Shoreway,,25,16.67,32.89,14.29,25.61,41.54,34.12,38.46,32.88,63.04,50,62.03,62.82,60.26,52.56,45.45,8.33,26.67,5.26,5.88,10.53
 Downtown,,,,,,,,20,,,35.71,35.71,,,,,,,,,,
 Edgewater,,35.71,,37.5,,30,80,59.09,,61.11,72,68.18,,,,,,,,,,
 Euclid-Green,,37.5,,37.93,,28,52.17,25.93,,0,62.5,38.89,66.67,85,72.73,66.67,45,,,,,
 Fairfax,,23.68,,17.65,,9.38,33.33,9.09,,24.24,45.24,25.64,53.33,58.62,58.62,50,40.63,,25,28.57,18.75,5.88
 Glenville,,19.29,,13.55,,18.13,38.89,19.35,25.4,27.81,36.41,19,61.24,63.46,45.45,48.57,36.28,18.42,18.75,9.43,26.23,7.59
 Goodrich-Kirtland Pk,,30.77,,35.71,,27.27,20,35.71,,,38.1,47.62,50,46.15,66.67,66.67,43.75,,,,,
 Hopkins,,,,,,,,,,,,,,,,,,,,,,
 Hough,,14.77,,17.98,,11.27,43.86,17.11,25.71,19.8,44.66,27,60.78,61.54,55.88,47.57,32.04,15.38,6.67,12.5,34.38,9.09
 Jefferson,38.46,31.45,40,29.57,46.67,22.58,52.56,35.78,68,46.3,73.43,66.42,57.89,59.65,58.26,52.21,37.93,14.29,26.32,21.05,47.37,15.38
 Kamm's,66.67,43.52,,52.53,40,34.55,61.97,53.49,69.23,52.63,75.65,73.21,66.67,61.54,58.75,58.02,44.44,33.33,33.33,27.27,25,18.75
 Kinsman,,8.57,,17.95,,18.92,54.17,20.59,29.41,18.42,39.22,24.49,61.22,51.06,47.92,42.86,30.61,,18.18,15.38,35.71,11.11
 Lee-Harvard,,16.9,,22.39,,17.14,58.54,22,42.86,29.82,63.08,30.65,71.23,69.33,58.11,59.21,44.59,,,20,,14.29
 Lee-Seville,,30,,5,,27.78,55.56,20,37.5,17.14,67.65,25.81,74.29,79.41,60,61.76,52.78,,10,18.18,27.27,10
 Mount Pleasant,,14.13,,19.44,,12.24,37.84,20.73,36,22.5,41.53,32.41,57.89,48.98,51.49,49.48,31,29.41,50,24.24,31.43,12.5
 North Shore Collinwood,50,28.57,,41.82,,25.76,44.9,20,65.22,42.37,48.31,36.47,68.66,66.18,55.22,52.17,38.81,,15.38,28.57,17.65,4.76
 Ohio City,,21.62,,39.58,,51.28,39.39,34.15,26.67,25.58,53.52,43.48,67.5,61.54,52.5,58.97,48.72,,,,20,18.18
 Old Brooklyn,75,30.26,,34.31,,26.9,63.64,41.84,65.45,37.69,61.74,45.07,74.84,82.35,71.34,64.05,56.41,15.38,27.27,12.9,19.35,10.53
 St.Clair-Superior,,19.51,,32.5,,28.21,48.39,25,35.71,29.17,41.51,22,63.89,69.44,69.44,45.95,34.29,18.18,8.33,11.76,11.76,16.67
 Stockyards,43.75,37,28.57,28.57,,29.67,56.86,40,53.85,37.37,60.83,47.75,62.11,55.21,54.17,49.45,38.95,16.13,17.14,28.21,20.45,10.42
 Tremont,,37.5,,36.59,,14.29,56.52,57.58,38.46,36,56,48.98,71.74,69.77,62.22,63.64,54.55,18.75,19.05,5.88,5.26,8.7
 Union-Miles,,15.97,,29.13,,20.63,36.05,26.55,47.06,21.3,43.21,27.59,69.92,66.92,56.06,56.92,38.35,25.81,21.88,11.9,28.26,11.32
 University,,,,,,,,,,,,,,,,,,,,,,
