Neighborhood,"Grade 6 Reading/English, 2016 (CMSD)","Grade 6 Math, 2016 (CMSD)","Grade 7 Reading/English, 2016 (CMSD)","Grade 7 Math, 2016 (CMSD)","Grade 8 English, 2016 (CMSD)","Grade 8 Math, 2016 (CMSD)","Grade 4 Reading/English, 2016 (CMSD)","Grade 4 Math, 2016 (CMSD)","Grade 5 Reading/English, 2016 (CMSD)","Grade 5 Math, 2016 (CMSD)",3rd Grade English 2016,3rd Grade Math 2016
 Bellaire-Puritas,20.69,19.54,25,29.41,18.82,26.92,17.65,44.05,36.11,43.84,19.28,41.03
 Broadway-Slavic Village,11.59,6.43,7.25,9.42,9.49,16.79,6.62,12.41,8.4,9.92,12.57,22.36
 Brooklyn Centre,12.5,13.75,18.6,13.79,11.84,25.64,28.24,47.06,20.97,21.31,14.94,26.19
 Buckeye-Shaker Square,4.35,8.7,12.5,11.9,12.5,17.5,7.14,9.3,24.32,10.81,17.78,14.63
 Buckeye-Woodhill,23.53,8.57,8,9.8,4.55,9.09,13.16,15.38,20,14.71,15.79,13.73
 Central,7.27,7.27,12.24,8.16,7.84,8.74,11.11,10.17,15.96,16.67,6.32,14.36
 Clark-Fulton,15.63,18.46,10.26,18.75,11.59,17.14,22.54,37.68,21.21,20.9,17.02,26.97
 Collinwood-Nottingham,17.74,6.45,21.43,22.54,1.61,9.38,15.71,11.43,14.55,25.45,10.26,23.38
 Cudell,12.16,14.86,18.67,18.92,10.14,10.45,15.19,31.17,22.22,19.32,23.47,38.3
 Cuyahoga Valley,,,,,,,,,,,,
 Detroit Shoreway,18.06,11.11,8.7,22.86,15.48,22.62,13.7,27.03,20,13.33,22.22,29.52
 Downtown,10,0,,,,,,,10,10,10,23.53
 Edgewater,33.33,46.67,10,30,12.5,31.25,52.94,70.59,40,73.33,43.75,53.33
 Euclid-Green,5.26,10,11.54,25,15.15,27.27,19.35,29.03,20,17.14,20.51,23.68
 Fairfax,13.33,13.79,8.57,8.33,2.7,10.81,12.9,15.15,18.52,11.11,14.71,15.15
 Glenville,8.64,6.25,13.25,12.12,7.05,19.48,8.54,14.2,14.17,14.96,9,12.43
 Goodrich-Kirtland Pk,0,0,13.33,20,18.18,36.36,15.38,38.46,13.33,6.67,25,31.25
 Hopkins,,,,,,,,,,,,
 Hough,6.98,11.76,4,12.99,6.35,7.94,3.7,7.32,6.56,13.11,11.83,20
 Jefferson,32.74,30.09,21.85,27.73,12.82,20.18,30.4,41.27,32.77,36.97,32.26,53.33
 Kamm's,37.66,42.86,24.24,27,24.72,38.89,27.93,39.64,39.29,37.35,37.93,57.45
 Kinsman,12.24,12.24,9.52,4.88,10,12.82,8.89,8.89,3.03,6.06,14.71,9.23
 Lee-Harvard,10.94,15.38,4.76,15.63,9.09,25,19.64,20.34,20.45,6.98,10,21.21
 Lee-Seville,9.68,21.88,17.39,26.09,5.88,17.65,4.55,8.7,9.09,8.7,8.82,29.03
 Mount Pleasant,6.9,5.68,11.11,15.38,9.62,9.47,8.82,20.59,12.2,8.86,9.57,14.95
 North Shore Collinwood,18.64,20.34,20,22.54,13.33,30.23,19.7,25.76,27.54,28.99,28.42,39.56
 Ohio City,5.26,10.53,21.95,29.27,9.09,31.82,22,19.61,23.08,15.38,17.81,28.17
 Old Brooklyn,15.49,13.29,21.88,25.16,23.78,26.76,29.05,37.41,38.1,21.09,21.97,38.46
 St.Clair-Superior,12.82,15.79,8.51,8.51,9.09,12.12,8.11,10.81,34.38,21.88,12.28,19.64
 Stockyards,17.71,25.74,25.58,31.4,10.58,21,24.51,38.61,21.92,23.29,27.42,44.63
 Tremont,20,22,21.88,28.13,14.29,29.41,20.51,43.59,34.48,34.48,9.38,25.93
 Union-Miles,8.41,10.19,9.32,10.26,7.75,11.02,14.05,21.77,10.71,13.76,10.07,14.39
 University,,,,,,,,,,,,
 West Boulevard,19.85,23.53,18.01,25.79,14.1,22.15,16.22,33.79,21.25,18.4,23.12,36.65
 _Unknown neighborhood,9.84,11.29,18.18,17.54,8.51,16.67,15.58,21.79,12.7,19.67,11.39,18.67
_Suburb,21.57,29.41,23.13,27.21,8.53,20.33,29.29,37.68,21.21,23.85,31.82,39.26
