County,Neighborhood,"Grade 4 Reading/English, 2016 (CMSD)","Grade 4 Math, 2016 (CMSD)","Grade 4 Reading/English, 2015 (CMSD)","Grade 4 Math, 2015 (CMSD)","Grade 4 Reading/English, 2014 (CMSD)","Grade 4 Math, 2014 (CMSD)","Grade 4 Reading/English, 2013 (CMSD)","Grade 4 Math, 2013 (CMSD)","Grade 4 Reading/English, 2012 (CMSD)","Grade 4 Math, 2012 (CMSD)","Grade 4 Reading/English, 2011 (CMSD)","Grade 4 Math, 2011 (CMSD)","Grade 4 Reading/English, 2010 (CMSD)","Grade 4 Math, 2010 (CMSD)","Grade 5 Reading/English, 2016 (CMSD)","Grade 5 Math, 2016 (CMSD)","Grade 5 Reading/English, 2015 (CMSD)","Grade 5 Math, 2015 (CMSD)","Grade 5 Reading/English, 2014 (CMSD)","Grade 5 Math, 2014 (CMSD)","Grade 5 Reading/English, 2013 (CMSD)","Grade 5 Math, 2013 (CMSD)","Grade 5 Reading/English, 2012 (CMSD)","Grade 5 Math, 2012 (CMSD)","Grade 5 Reading/English, 2011 (CMSD)","Grade 5 Math, 2011 (CMSD)","Grade 5 Reading/English, 2010 (CMSD)","Grade 5 Math, 2010 (CMSD)",
Cuyahoga, Bellaire-Puritas,17.65,44.05,58.49,40,76.62,70.13,74.71,56.32,61.29,50.54,66.29,53.93,66.33,56.12,36.11,43.84,47.22,37.97,47.56,41.46,46.25,35,37.66,22.08,53.27,43.93,46.08,36.27,
Cuyahoga, Broadway-Slavic Village,6.62,12.41,43.12,18.52,48.1,29.11,45.06,24.69,50.83,32.6,41.79,25.87,52.04,38.46,8.4,9.92,38.89,19.18,24.34,17.65,38.41,27.88,30.05,13.47,33.33,22.22,28.79,13.13,
Cuyahoga, Brooklyn Centre,28.24,47.06,41.18,42.31,73.63,62.37,76.19,59.05,69.89,62.37,76.32,64.94,44.44,27.16,20.97,21.31,52.5,18.48,39.08,35.63,31.87,35.16,50.63,27.85,43.96,29.67,45.36,34.02,
Cuyahoga, Buckeye-Shaker Square,7.14,9.3,52,31.25,40.43,34.04,72.92,54.17,43.24,37.84,56.86,43.14,50,40.38,24.32,10.81,28.57,24.39,30.56,30.56,28.57,16.67,31.48,14.81,29.17,16.67,35.09,20.69,
Cuyahoga, Buckeye-Woodhill,13.16,15.38,57.14,31.25,51.35,37.84,40.43,19.15,38.1,26.98,50.72,27.54,52.56,44.87,20,14.71,40,22.22,22.5,27.5,25,20,32.2,11.86,37.5,18.75,43.66,25.35,
Cuyahoga, Central,11.11,10.17,43.59,16.84,29.37,21.6,46.26,28.57,46.99,29.51,40.88,29.93,56.85,36.99,15.96,16.67,17.95,13.33,11.57,19.67,28.68,19.12,34.11,13.18,32.61,16.79,24.03,17.65,
Cuyahoga, Clark-Fulton,22.54,37.68,48.94,42.11,54.55,63.64,70.83,50,47.56,40.24,66.67,52.56,51,39,21.21,20.9,28.57,37.25,38.46,34.07,35.44,32.91,50.63,27.85,43.56,29,33.68,26.32,
Cuyahoga, Collinwood-Nottingham,15.71,11.43,31.82,22.41,40.63,39.06,46.27,32.84,37.35,23.17,53.01,30.12,57.45,40.43,14.55,25.45,45.45,15.79,24.29,12.68,16.92,6.15,35.63,6.9,35.29,10.59,27.17,22.58,
Cuyahoga, Cudell,15.19,31.17,60.56,32.26,68.75,48.75,60,40,58,54.55,60.49,46.91,64.65,50.51,22.22,19.32,38.71,38.96,47.5,34.15,40.59,32.67,47.83,36.23,47.19,40.45,47.78,36.67,
Cuyahoga, Cuyahoga Valley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Detroit Shoreway,13.7,27.03,41.54,34.12,57.69,45.57,74.47,60.64,71.57,52.94,57.41,50.93,58.47,47.46,20,13.33,38.46,32.88,39.22,36.27,48.86,43.18,49.06,27.36,47.71,34.86,32.79,34.96,
Cuyahoga, Downtown,-99,-99,-99,20,27.27,30,-99,-99,-99,-99,50,40,-99,-99,10,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Edgewater,52.94,70.59,80,59.09,83.33,73.68,68.75,62.5,93.33,100,92.59,81.48,84.62,76.92,40,73.33,-99,61.11,50,50,-99,-99,87.5,75,88.89,83.33,80,70,
Cuyahoga, Euclid-Green,19.35,29.03,52.17,25.93,55.56,21.43,63.33,56.67,79.17,58.33,72.41,62.07,46.15,30.77,20,17.14,-99,0,34.62,33.33,43.33,20,50,30,39.13,21.74,22.22,11.11,
