Neighborhood,"Grade 6 Reading/English, 2016 (CMSD)","Grade 6 Math, 2016 (CMSD)","Grade 6 Reading/English, 2015 (CMSD)","Grade 6 Math, 2015 (CMSD)","Grade 6 Reading/English, 2014 (CMSD)","Grade 6 Math, 2014 (CMSD)","Grade 6 Reading/English, 2013 (CMSD)","Grade 6 Math, 2013 (CMSD)","Grade 6 Reading/English, 2012 (CMSD)","Grade 6 Math, 2012 (CMSD)","Grade 6 Reading/English, 2011 (CMSD)","Grade 6 Math, 2011 (CMSD)","Grade 6 Reading/English, 2010 (CMSD)","Grade 6 Math, 2010 (CMSD)","Grade 7 Reading/English, 2016 (CMSD)","Grade 7 Math, 2016 (CMSD)","Grade 7 Reading/English, 2015 (CMSD)","Grade 7 Math, 2015 (CMSD)","Grade 7 Reading/English, 2014 (CMSD)","Grade 7 Math, 2014 (CMSD)","Grade 7 Reading/English, 2013 (CMSD)","Grade 7 Math, 2013 (CMSD)","Grade 7 Reading/English, 2012 (CMSD)","Grade 7 Math, 2012 (CMSD)","Grade 7 Reading/English, 2011 (CMSD)","Grade 7 Math, 2011 (CMSD)","Grade 7 Reading/English, 2010 (CMSD)","Grade 7 Math, 2010 (CMSD)","Grade 8 English, 2016 (CMSD)","Grade 8 Math, 2016 (CMSD)","Grade 8 English, 2015 (CMSD)","Grade 8 Math, 2015 (CMSD)","Grade 8 English, 2014 (CMSD)","Grade 8 Math, 2014 (CMSD)","Grade 8 English, 2013 (CMSD)","Grade 8 Math, 2013 (CMSD)","Grade 8 English, 2012 (CMSD)","Grade 8 Math, 2012 (CMSD)","Grade 8 English, 2011 (CMSD)","Grade 8 Math, 2011 (CMSD)","Grade 8 English, 2010 (CMSD)","Grade 8 Math, 2010 (CMSD)","Grade 4 Reading/English, 2016 (CMSD)","Grade 4 Math, 2016 (CMSD)","Grade 4 Reading/English, 2015 (CMSD)","Grade 4 Math, 2015 (CMSD)","Grade 4 Reading/English, 2014 (CMSD)","Grade 4 Math, 2014 (CMSD)","Grade 4 Reading/English, 2013 (CMSD)","Grade 4 Math, 2013 (CMSD)","Grade 4 Reading/English, 2012 (CMSD)","Grade 4 Math, 2012 (CMSD)","Grade 4 Reading/English, 2011 (CMSD)","Grade 4 Math, 2011 (CMSD)","Grade 4 Reading/English, 2010 (CMSD)","Grade 4 Math, 2010 (CMSD)","Grade 5 Reading/English, 2016 (CMSD)","Grade 5 Math, 2016 (CMSD)","Grade 5 Reading/English, 2015 (CMSD)","Grade 5 Math, 2015 (CMSD)","Grade 5 Reading/English, 2014 (CMSD)","Grade 5 Math, 2014 (CMSD)","Grade 5 Reading/English, 2013 (CMSD)","Grade 5 Math, 2013 (CMSD)","Grade 5 Reading/English, 2012 (CMSD)","Grade 5 Math, 2012 (CMSD)","Grade 5 Reading/English, 2011 (CMSD)","Grade 5 Math, 2011 (CMSD)","Grade 5 Reading/English, 2010 (CMSD)","Grade 5 Math, 2010 (CMSD)",3rd Grade English 2016,3rd Grade Math 2016,3rd Grade English 2015,3rd Grade Math 2015,3rd Grade English 2014,3rd Grade Math 2014,3rd Grade English 2013,3rd Grade Math 2013,3rd Grade English 2012,3rd Grade Math 2012,3rd Grade English 2011,3rd Grade Math 2011,3rd Grade English 2010,3rd Grade Math 2010,"OGT 10th Grade-Reading, 2015 (CMSD)","OGT 10th Grade-Writing, 2015 (CMSD)","OGT 10th Grade-Math, 2015 (CMSD)","OGT 10th Grade-Social Studies, 2015 (CMSD)","OGT 10th Grade-Science, 2015 (CMSD)","OGT 11th Grade-Reading, 2015 (CMSD)","OGT 11th Grade-Writing, 2015 (CMSD)","OGT 11th Grade-Math, 2015 (CMSD)","OGT 11th Grade-Social Studies, 2015 (CMSD)","OGT 11th Grade-Science, 2015 (CMSD)","OGT 10th Grade-Reading, 2014 (CMSD)","OGT 10th Grade-Writing, 2014 (CMSD)","OGT 10th Grade-Math, 2014 (CMSD)","OGT 10th Grade-Social Studies, 2014 (CMSD)","OGT 10th Grade-Science, 2014 (CMSD)","OGT 11th Grade-Reading, 2014 (CMSD)","OGT 11th Grade-Writing, 2014 (CMSD)","OGT 11th Grade-Math, 2014 (CMSD)","OGT 11th Grade-Social Studies, 2014 (CMSD)","OGT 11th Grade-Science, 2014 (CMSD)","OGT 10th Grade-Reading, 2013 (CMSD)","OGT 10th Grade-Writing, 2013 (CMSD)","OGT 10th Grade-Math, 2013 (CMSD)","OGT 10th Grade-Social Studies, 2013 (CMSD)","OGT 10th Grade-Science, 2013 (CMSD)","OGT 11th Grade-Reading, 2013 (CMSD)","OGT 11th Grade-Writing, 2013 (CMSD)","OGT 11th Grade-Math, 2013 (CMSD)","OGT 11th Grade-Social Studies, 2013 (CMSD)","OGT 11th Grade-Science, 2013 (CMSD)","OGT 10th Grade-Reading, 2012 (CMSD)","OGT 10th Grade-Writing, 2012 (CMSD)","OGT 10th Grade-Math, 2012 (CMSD)","OGT 10th Grade-Social Studies, 2012 (CMSD)","OGT 10th Grade-Science, 2012 (CMSD)","OGT 10th Grade-Reading, 2011 (CMSD)","OGT 10th Grade-Writing, 2011 (CMSD)","OGT 10th Grade-Math, 2011 (CMSD)","OGT 10th Grade-Social Studies, 2011 (CMSD)","OGT 10th Grade-Science, 2011 (CMSD)","OGT 10th Grade-Reading, 2010 (CMSD)","OGT 10th Grade-Writing, 2010 (CMSD)","OGT 10th Grade-Math, 2010 (CMSD)","OGT 10th Grade-Social Studies, 2010 (CMSD)","OGT 10th Grade-Science, 2010 (CMSD)","OGT 11th Grade Writing, 2012 (CMSD)","OGT 11th Grade Math, 2012 (CMSD)","OGT 11th Grade Social Studies, 2012 (CMSD)","OGT 11th Grade Science, 2012 (CMSD)","OGT 11th Grade Reading, 2011 (CMSD)","OGT 11th Grade Writing, 2011 (CMSD)","OGT 11th Grade Math, 2011 (CMSD)","OGT 11th Grade Social Studies, 2011 (CMSD)","OGT 11th Grade Science, 2011 (CMSD)","OGT 11th Grade Reading, 2010 (CMSD)","OGT 11th Grade Writing, 2010 (CMSD)","OGT 11th Grade Math, 2010 (CMSD)","OGT 11th Grade Social Studies, 2010 (CMSD)","OGT 11th Grade Science, 2010 (CMSD)","OGT 11th Grade Reading, 2012 (CMSD)"
 Bellaire-Puritas,20.69,19.54,,31.71,66.67,54.67,60.87,40.58,74.77,58.49,74.77,53.27,57.69,42.31,25,29.41,,44.3,79.73,58.11,60.71,51.79,59.26,49.07,50,53.49,69.61,54.9,18.82,26.92,,34.85,63,52,82.35,58.82,66.27,57.83,78.41,69.32,68.29,57.32,17.65,44.05,58.49,40,76.62,70.13,74.71,56.32,61.29,50.54,66.29,53.93,66.33,56.12,36.11,43.84,47.22,37.97,47.56,41.46,46.25,35,37.66,22.08,53.27,43.93,46.08,36.27,19.28,41.03,65.22,49.44,70.59,65.38,75.32,68.83,64.52,64.52,56.52,63.95,52.13,62.22,66.67,67.02,63.92,60.64,45.83,30.77,43.75,30.43,28,19.23,77.78,75,61.11,58.33,50,,,,,,76.83,71.25,75.31,64.1,58.02,,,,31.25,22.22,65.38,72.73,61.54,54.55,49.35,72.73,80.77,62.03,58.44,50.63,64.47,57.33,57.33,59.21,43.24,53.33,40.74,26.47,30,33.33,,36.36,14.29,28.57,,,,18.18,11.11,45.45
 Broadway-Slavic Village,11.59,6.43,,16.91,46.45,34.62,34.62,16.67,54.91,35.26,51.87,22.99,54.75,32.13,7.25,9.42,,23.31,33.75,22.98,38.71,24.03,38.07,17.82,30.1,21.83,42.16,20.54,9.49,16.79,38.46,9.49,54.25,39.87,50.64,25.81,40.96,26.38,47.47,20.75,44.1,23.44,6.62,12.41,43.12,18.52,48.1,29.11,45.06,24.69,50.83,32.6,41.79,25.87,52.04,38.46,8.4,9.92,38.89,19.18,24.34,17.65,38.41,27.88,30.05,13.47,33.33,22.22,28.79,13.13,12.57,22.36,33.52,17.47,39.08,33.94,47.17,37.74,35.76,25.45,49.74,45.7,40.64,34.91,63.76,57.79,52.29,47.02,33.33,22.86,26.47,12.73,38.18,6.67,69.66,61.49,39.46,44,40.14,,,,,,56.77,55.19,46.88,38.13,30.57,29.41,32,22.22,30.77,21.43,53.33,61.18,46.51,40.24,32.54,61.46,74.74,53.13,38.62,34.9,53.02,57.55,43.24,37.16,25.35,39.02,27.14,24.42,29.17,15.63,28,15.91,28.26,18.33,15,18.18,4.44,11.11,0,46.03
 Brooklyn Centre,12.5,13.75,,17.05,65.67,52.94,58.14,40.7,75.28,50.56,63.53,47.06,69.62,39.24,18.6,13.79,,37.18,65.75,54.79,63.83,35.11,55.7,35.44,61.04,61.04,67.27,49.09,11.84,25.64,27.27,26.47,64.47,45.45,67.82,40.23,60.24,40.96,68.93,56.31,65.56,51.11,28.24,47.06,41.18,42.31,73.63,62.37,76.19,59.05,69.89,62.37,76.32,64.94,44.44,27.16,20.97,21.31,52.5,18.48,39.08,35.63,31.87,35.16,50.63,27.85,43.96,29.67,45.36,34.02,14.94,26.19,59.78,42.53,46.91,50,54.35,55.43,62.73,52.73,49.52,58.16,59.09,61.25,71.43,69.44,72.46,58.21,51.47,12.5,33.33,18.75,10,13.64,72.06,71.21,55.22,50,54.29,,,,,,70.67,67.57,69.86,56.76,54.05,21.43,0,5.56,31.25,30.43,73.08,70.89,63.29,57.5,50,65.43,74.07,56.63,43.9,40.74,67.53,71.05,54.43,55.7,40.51,37.5,36,40.54,41.46,46.15,27.27,28.57,16.67,17.39,,,25,7.14,26.67,61.9
 Buckeye-Shaker Square,4.35,8.7,,16.67,50,41.3,56.6,28.3,61.7,34.04,66.07,37.5,59.62,42.31,12.5,11.9,,16.33,48.72,32.5,50,27.78,36.54,25,42,22,63.64,36.36,12.5,17.5,,18.92,52.63,35.9,53.66,31.71,64.58,43.75,75.51,46.94,68.42,37.5,7.14,9.3,52,31.25,40.43,34.04,72.92,54.17,43.24,37.84,56.86,43.14,50,40.38,24.32,10.81,28.57,24.39,30.56,30.56,28.57,16.67,31.48,14.81,29.17,16.67,35.09,20.69,17.78,14.63,32,29.17,50,36,50,58.82,50,51.79,51.11,46.51,50,38.98,58.33,59.46,39.47,51.35,28.95,,,,,16.67,77.14,69.7,60.61,54.29,41.18,,,,,,61.54,48.72,51.22,37.5,31.71,,,,10,23.08,66.67,62.96,57.14,50,48.21,66.15,70.97,63.49,54.69,53.03,53.03,64.06,50,36.92,31.75,50,50,50,32,13.33,21.43,24,7.41,16.13,,,18.18,16.67,23.81,60
 Buckeye-Woodhill,23.53,8.57,,13.04,44.44,24.53,37.74,18.87,67.31,37.25,60.66,42.62,52.81,39.33,8,9.8,,12,42.59,25.93,44.9,24.49,37.25,23.53,46.15,34.62,57.14,27.14,4.55,9.09,,15.09,57.14,34.88,61.22,32.65,57.14,47.14,65,34.48,55.56,31.75,13.16,15.38,57.14,31.25,51.35,37.84,40.43,19.15,38.1,26.98,50.72,27.54,52.56,44.87,20,14.71,40,22.22,22.5,27.5,25,20,32.2,11.86,37.5,18.75,43.66,25.35,15.79,13.73,39.34,18.03,41.86,40.48,38.3,50,42.19,32.81,34.78,39.71,39.19,28.17,71.43,62,60.78,58,35.29,10,7.14,0,17.39,7.69,69.23,57.45,50,42.31,35.19,,,,,,71.74,62.22,48,35.42,41.18,,,,,,70.21,67.39,64.58,56.25,53.19,45.16,58.06,40.32,32.81,29.69,52,57.14,45.1,42.31,37.74,17.65,45.83,23.08,21.43,0,8.33,5.88,23.08,12.5,20,,10,6.67,15,23.53
 Central,7.27,7.27,,8.49,40,16.67,36.45,19.63,50.68,18.92,48.51,27.61,54.68,23.74,12.24,8.16,,10.62,41.11,17.58,34.19,20.51,32.59,22.39,30.08,26.45,46.73,15.89,7.84,8.74,,2.78,44.12,33.98,50.43,26.72,39.62,33.96,58.51,24.47,46.34,23.58,11.11,10.17,43.59,16.84,29.37,21.6,46.26,28.57,46.99,29.51,40.88,29.93,56.85,36.99,15.96,16.67,17.95,13.33,11.57,19.67,28.68,19.12,34.11,13.18,32.61,16.79,24.03,17.65,6.32,14.36,29.61,14.38,37.21,27.2,38.85,44.6,34.13,38.16,51.38,41.57,42.21,38.51,56.86,64.36,54.55,52.53,39.6,26.32,22.73,14.81,24.14,17.95,66.3,61.8,46.81,46.24,31.58,,,,,,64.63,50.62,53.01,47.56,30.95,10.53,5.88,16.67,28.13,19.05,48.11,59.05,45.05,34.51,27.93,53.85,57.14,43.18,34.83,23.33,42.86,49.14,39.67,28.81,25.83,20.93,24.07,12,23.08,5.26,23.81,6.45,9.68,17.65,37.5,,14.29,6.9,5.71,30.95
 Clark-Fulton,15.63,18.46,25,29.21,41.03,34.18,66.15,41.54,66.28,43.02,55.17,44.19,52.63,35.79,10.26,18.75,0,18.84,57.41,48.15,56,40,35.8,29.63,37.36,37.36,53.06,40.82,11.59,17.14,,31.25,55.56,45.83,53.85,41.54,55.42,51.81,61.46,48.42,44.34,28.44,22.54,37.68,48.94,42.11,54.55,63.64,70.83,50,47.56,40.24,66.67,52.56,51,39,21.21,20.9,28.57,37.25,38.46,34.07,35.44,32.91,50.63,27.85,43.56,29,33.68,26.32,17.02,26.97,51.76,43.04,50,57.14,55.56,49.21,55.67,56.25,41.67,51.65,54.08,56.99,63.38,56.94,53.42,48.65,31.08,28.57,19.05,32,28.57,26.47,69.74,66.67,61.04,56,38.16,,,,,,75,70.31,59.68,45.16,41.54,36.36,26.67,22.73,28,29.63,55.17,51.72,43.68,32.97,27.47,58.23,61.25,46.91,38.75,32.53,47.83,55.68,47.19,37.5,34.41,29.03,21.95,14.63,22.45,25,28.57,22.73,28,12.9,31.58,30,8.33,21.43,21.21,25
 Collinwood-Nottingham,17.74,6.45,,22.22,51.47,28.99,53.73,23.88,54.22,40.96,55.29,36.9,57.84,46.6,21.43,22.54,,19.67,38.55,21.69,47.69,27.69,29.41,12.94,35.92,37.86,59.38,34.38,1.61,9.38,,10.29,52.17,38.57,69.44,50.7,63.54,41.67,65.82,36.71,61.02,38.84,15.71,11.43,31.82,22.41,40.63,39.06,46.27,32.84,37.35,23.17,53.01,30.12,57.45,40.43,14.55,25.45,45.45,15.79,24.29,12.68,16.92,6.15,35.63,6.9,35.29,10.59,27.17,22.58,10.26,23.38,58.14,38.1,56.52,47.76,38.46,43.14,37.04,33.33,35.85,40.4,48.08,39.58,61.11,53.62,42.25,43.66,33.33,53.85,66.67,22.22,35,28.57,85.53,72.73,44.87,48,35.53,,,,,,69.44,57.97,52.05,51.43,47.83,25,5.26,7.69,23.08,11.11,53.91,57.39,47.01,46.61,36.75,64.65,72.63,52.53,44.55,36.54,56.3,68.42,51.88,46.15,28.47,21.74,11.9,17.39,23.21,20,23.08,10,8.82,13.46,16.67,7.14,14.71,3.13,13.33,26.67
 Cudell,12.16,14.86,,26.25,59.21,43.42,55,37.97,73.03,64.04,70.87,60.19,61.45,48.19,18.67,18.92,,22.97,57.58,41.79,54.55,43.18,44.12,29.41,56.76,47.3,59.6,41.41,10.14,10.45,,24.19,67.44,60.23,59.57,38.3,65.48,52.38,63.95,47.67,58.43,48.86,15.19,31.17,60.56,32.26,68.75,48.75,60,40,58,54.55,60.49,46.91,64.65,50.51,22.22,19.32,38.71,38.96,47.5,34.15,40.59,32.67,47.83,36.23,47.19,40.45,47.78,36.67,23.47,38.3,64.42,44.9,65.59,58.24,58.54,52.44,60.67,58.43,53.85,68.6,57.3,53.49,64.37,60.23,54.65,53.41,42.53,8.33,21.43,35,20,13.64,49.37,56.58,42.31,46.67,36.36,,,,,,56,51.28,51.95,37.97,34.18,21.43,23.08,25,33.33,28,49.33,62.67,52,41.03,34.62,60.47,77.01,55.81,40.48,40.45,58.51,54.44,53.76,43.48,35.79,36.84,30.3,35,21.05,26.09,25,26.92,16.67,6.67,38.46,18.18,20,11.11,4,40
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
