County,Neighborhood,"Grade 6 Reading/English, 2016 (CMSD)","Grade 6 Math, 2016 (CMSD)","Grade 6 Reading/English, 2015 (CMSD)","Grade 6 Math, 2015 (CMSD)","Grade 6 Reading/English, 2014 (CMSD)","Grade 6 Math, 2014 (CMSD)","Grade 6 Reading/English, 2013 (CMSD)","Grade 6 Math, 2013 (CMSD)","Grade 6 Reading/English, 2012 (CMSD)","Grade 6 Math, 2012 (CMSD)","Grade 6 Reading/English, 2011 (CMSD)","Grade 6 Math, 2011 (CMSD)","Grade 6 Reading/English, 2010 (CMSD)","Grade 6 Math, 2010 (CMSD)","Grade 7 Reading/English, 2016 (CMSD)","Grade 7 Math, 2016 (CMSD)","Grade 7 Reading/English, 2015 (CMSD)","Grade 7 Math, 2015 (CMSD)","Grade 7 Reading/English, 2014 (CMSD)","Grade 7 Math, 2014 (CMSD)","Grade 7 Reading/English, 2013 (CMSD)","Grade 7 Math, 2013 (CMSD)","Grade 7 Reading/English, 2012 (CMSD)","Grade 7 Math, 2012 (CMSD)","Grade 7 Reading/English, 2011 (CMSD)","Grade 7 Math, 2011 (CMSD)","Grade 7 Reading/English, 2010 (CMSD)","Grade 7 Math, 2010 (CMSD)","Grade 8 English, 2016 (CMSD)","Grade 8 Math, 2016 (CMSD)","Grade 8 English, 2015 (CMSD)","Grade 8 Math, 2015 (CMSD)","Grade 8 English, 2014 (CMSD)","Grade 8 Math, 2014 (CMSD)","Grade 8 English, 2013 (CMSD)","Grade 8 Math, 2013 (CMSD)","Grade 8 English, 2012 (CMSD)","Grade 8 Math, 2012 (CMSD)","Grade 8 English, 2011 (CMSD)","Grade 8 Math, 2011 (CMSD)","Grade 8 English, 2010 (CMSD)","Grade 8 Math, 2010 (CMSD)",
Cuyahoga, Bellaire-Puritas,20.69,19.54,-99,31.71,66.67,54.67,60.87,40.58,74.77,58.49,74.77,53.27,57.69,42.31,25,29.41,-99,44.3,79.73,58.11,60.71,51.79,59.26,49.07,50,53.49,69.61,54.9,18.82,26.92,-99,34.85,63,52,82.35,58.82,66.27,57.83,78.41,69.32,68.29,57.32,
Cuyahoga, Broadway-Slavic Village,11.59,6.43,-99,16.91,46.45,34.62,34.62,16.67,54.91,35.26,51.87,22.99,54.75,32.13,7.25,9.42,-99,23.31,33.75,22.98,38.71,24.03,38.07,17.82,30.1,21.83,42.16,20.54,9.49,16.79,38.46,9.49,54.25,39.87,50.64,25.81,40.96,26.38,47.47,20.75,44.1,23.44,
Cuyahoga, Brooklyn Centre,12.5,13.75,-99,17.05,65.67,52.94,58.14,40.7,75.28,50.56,63.53,47.06,69.62,39.24,18.6,13.79,-99,37.18,65.75,54.79,63.83,35.11,55.7,35.44,61.04,61.04,67.27,49.09,11.84,25.64,27.27,26.47,64.47,45.45,67.82,40.23,60.24,40.96,68.93,56.31,65.56,51.11,
Cuyahoga, Buckeye-Shaker Square,4.35,8.7,-99,16.67,50,41.3,56.6,28.3,61.7,34.04,66.07,37.5,59.62,42.31,12.5,11.9,-99,16.33,48.72,32.5,50,27.78,36.54,25,42,22,63.64,36.36,12.5,17.5,-99,18.92,52.63,35.9,53.66,31.71,64.58,43.75,75.51,46.94,68.42,37.5,
Cuyahoga, Buckeye-Woodhill,23.53,8.57,-99,13.04,44.44,24.53,37.74,18.87,67.31,37.25,60.66,42.62,52.81,39.33,8,9.8,-99,12,42.59,25.93,44.9,24.49,37.25,23.53,46.15,34.62,57.14,27.14,4.55,9.09,-99,15.09,57.14,34.88,61.22,32.65,57.14,47.14,65,34.48,55.56,31.75,
Cuyahoga, Central,7.27,7.27,-99,8.49,40,16.67,36.45,19.63,50.68,18.92,48.51,27.61,54.68,23.74,12.24,8.16,-99,10.62,41.11,17.58,34.19,20.51,32.59,22.39,30.08,26.45,46.73,15.89,7.84,8.74,-99,2.78,44.12,33.98,50.43,26.72,39.62,33.96,58.51,24.47,46.34,23.58,
Cuyahoga, Clark-Fulton,15.63,18.46,25,29.21,41.03,34.18,66.15,41.54,66.28,43.02,55.17,44.19,52.63,35.79,10.26,18.75,0,18.84,57.41,48.15,56,40,35.8,29.63,37.36,37.36,53.06,40.82,11.59,17.14,-99,31.25,55.56,45.83,53.85,41.54,55.42,51.81,61.46,48.42,44.34,28.44,
Cuyahoga, Collinwood-Nottingham,17.74,6.45,-99,22.22,51.47,28.99,53.73,23.88,54.22,40.96,55.29,36.9,57.84,46.6,21.43,22.54,-99,19.67,38.55,21.69,47.69,27.69,29.41,12.94,35.92,37.86,59.38,34.38,1.61,9.38,-99,10.29,52.17,38.57,69.44,50.7,63.54,41.67,65.82,36.71,61.02,38.84,
Cuyahoga, Cudell,12.16,14.86,-99,26.25,59.21,43.42,55,37.97,73.03,64.04,70.87,60.19,61.45,48.19,18.67,18.92,-99,22.97,57.58,41.79,54.55,43.18,44.12,29.41,56.76,47.3,59.6,41.41,10.14,10.45,-99,24.19,67.44,60.23,59.57,38.3,65.48,52.38,63.95,47.67,58.43,48.86,
Cuyahoga, Cuyahoga Valley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
