Neighborhood,2010,2011,2012,2013,2014,2015,2016
 Bellaire-Puritas,51.58631578947369,54.966666666666654,52.99272727272727,58.44894736842105,62.83176470588236,45.55052631578947,28.528333333333325
 Broadway-Slavic Village,31.369999999999994,35.57454545454545,36.41545454545454,35.21818181818182,39.934705882352944,30.9985,11.104166666666666
 Brooklyn Centre,48.062,49.877272727272725,53.47909090909091,46.61181818181817,56.43941176470588,38.79900000000001,21.235833333333336
 Buckeye-Shaker Square,41.870499999999986,42.004999999999995,46.44318181818182,41.73526315789474,46.20941176470588,33.568666666666665,12.619166666666665
 Buckeye-Woodhill,37.309047619047625,34.01636363636365,40.76818181818182,39.488823529411754,41.48352941176472,30.41210526315789,13.025833333333331
 Central,32.28142857142857,31.998636363636365,32.723636363636366,32.77454545454546,34.87117647058824,27.970526315789478,10.509166666666667
 Clark-Fulton,38.69590909090909,41.99727272727272,40.19227272727273,46.73227272727272,51.272352941176464,35.43333333333334,19.845833333333335
 Collinwood-Nottingham,38.16136363636363,37.27363636363636,34.48818181818182,36.716818181818184,43.472941176470584,37.061578947368425,14.994166666666665
 Cudell,43.91227272727272,47.26363636363637,47.591363636363624,42.501363636363635,51.9964705882353,38.25315789473684,19.5725
 Cuyahoga Valley,,,,,,,
 Detroit Shoreway,43.97714285714285,44.730454545454556,47.12863636363636,45.85318181818182,52.84411764705882,34.01380952380953,18.71916666666667
 Downtown,50.0,45.0,,29.165000000000003,32.684,30.473333333333333,10.588333333333333
 Edgewater,60.3070588235294,75.15294117647059,74.90666666666668,71.795,64.76583333333333,55.448750000000004,41.47416666666666
 Euclid-Green,40.426111111111105,46.688235294117646,49.1245,45.9511111111111,54.49588235294117,47.614615384615384,18.660833333333333
 Fairfax,35.17333333333334,38.625,35.567272727272716,34.693636363636365,43.82117647058823,31.038235294117644,12.089166666666669
 Glenville,37.547727272727265,39.325909090909086,40.37045454545454,33.50272727272727,42.85647058823529,29.11842105263158,11.674166666666666
 Goodrich-Kirtland Pk,50.873529411764714,51.551764705882356,47.78111111111111,45.28083333333333,38.71615384615385,42.36833333333333,18.163333333333334
 Hopkins,,,,,,,
 Hough,32.458636363636366,38.55045454545454,37.454090909090915,38.15857142857143,43.70117647058823,29.367894736842107,9.378333333333334
 Jefferson,51.15619047619049,53.073181818181816,58.406363636363615,52.71045454545454,62.00705882352942,42.798636363636355,31.034166666666668
 Kamm's,63.623157894736835,53.345000000000006,64.63363636363637,57.23318181818181,70.33,50.02619047619047,36.24666666666667
 Kinsman,30.953333333333326,35.85318181818182,42.02181818181819,37.320499999999996,40.32470588235294,30.321666666666673,9.375833333333334
 Lee-Harvard,40.270454545454555,46.03272727272727,42.78181818181818,41.715,55.08941176470588,40.00875,14.951666666666666
 Lee-Seville,42.16749999999999,45.013333333333335,39.58761904761905,45.2338888888889,48.66294117647059,37.785,13.954999999999998
 Mount Pleasant,35.543181818181814,38.303636363636365,40.06272727272727,39.192727272727275,47.076470588235296,32.8021052631579,11.095833333333331
 North Shore Collinwood,43.469047619047615,46.81476190476191,48.210909090909084,50.43111111111111,59.47588235294117,39.51684210526316,24.587500000000002
 Ohio City,46.943333333333335,42.762,47.84409090909091,48.14368421052632,53.23176470588235,41.4175,19.4975
 Old Brooklyn,53.343181818181826,55.705,61.42227272727273,55.59181818181819,62.660000000000004,45.815999999999995,26.036666666666665
 St.Clair-Superior,32.25954545454546,33.00954545454545,35.63999999999999,36.516818181818174,44.24411764705882,33.2478947368421,14.495
 Stockyards,45.40190476190475,51.52095238095238,50.35363636363636,49.76636363636364,53.15588235294117,38.879047619047626,26.0325
 Tremont,48.47055555555556,49.45277777777778,46.49263157894737,46.782,50.3235294117647,40.077894736842104,25.34
 Union-Miles,35.002272727272725,38.663636363636364,37.684999999999995,35.46590909090909,42.54588235294118,34.46473684210527,11.808333333333332
 University,,,,,,,
 West Boulevard,45.66499999999999,48.67454545454545,50.61000000000001,47.24181818181818,56.635882352941174,37.933181818181815,22.738333333333333
 _Unknown neighborhood,40.847647058823526,39.77473684210526,44.860625,32.69666666666667,46.05705882352942,33.37894736842106,15.152499999999998
_Suburb,41.38954545454546,46.17363636363637,51.43545454545454,48.368181818181824,58.06058823529412,47.55850000000001,26.1075
