Neighborhood,"Land bank parcels, number, 2017 (Property)","Land bank parcels, number, 2016 (Property)","Land bank parcels, number, 2015 (Property)","Land bank parcels, number, 2014 (Property)","Land bank parcels, number, 2013 (Property)","Land bank parcels, number, 2012 (Property)","Land bank parcels, number, 2011 (Property)","Land bank parcels, number, 2010 (Property)","Residential vacant parcels, number, 2017 (Property)","Residential vacant parcels, number, 2016 (Property)","Residential vacant parcels, number, 2015 (Property)","Residential vacant parcels, number, 2014 (Property)","Residential vacant parcels, number, 2013 (Property)","Residential vacant parcels, number, 2012 (Property)","Residential vacant parcels, number, 2011 (Property)","Residential vacant parcels, number, 2010 (Property)"
 Bellaire-Puritas,144,144,135,130,120,118,101,86,260,284,284,283,284,278,282,284
 Broadway-Slavic Village,1723,1599,1348,1173,1052,926,791,585,654,717,757,878,832,797,844,905
 Brooklyn Centre,83,81,72,63,53,54,47,45,102,119,117,119,120,106,104,102
 Buckeye-Shaker Square,274,238,181,143,126,101,80,56,103,108,112,131,120,123,130,102
 Buckeye-Woodhill,780,758,694,615,592,561,540,481,177,255,276,334,322,331,340,385
 Central,749,759,726,695,685,669,695,686,81,225,230,268,264,317,292,352
 Clark-Fulton,258,241,214,182,166,158,135,110,231,253,243,273,262,231,235,231
 Collinwood-Nottingham,844,818,748,665,615,540,471,392,250,265,273,303,290,281,299,320
 Cudell,119,107,104,85,76,77,56,45,111,111,108,118,109,92,94,96
 Cuyahoga Valley,20,20,20,20,20,18,17,17,0,10,10,10,10,10,10,10
 Detroit Shoreway,241,236,219,207,191,182,157,117,279,315,322,337,333,331,336,338
 Downtown,1,1,1,1,1,0,0,0,3,5,5,5,5,5,5,5
 Edgewater,7,8,6,9,8,7,5,4,23,33,31,29,30,28,27,28
 Euclid-Green,157,148,141,132,123,113,101,91,78,86,85,84,83,89,90,96
 Fairfax,1015,988,914,834,795,738,707,628,295,471,449,497,499,529,524,570
 Glenville,2006,1928,1752,1563,1457,1328,1178,963,686,678,751,842,760,746,797,897
 Goodrich-Kirtland Pk,73,67,63,61,60,57,54,54,110,132,130,125,126,127,127,123
 Hopkins,5,5,5,5,5,4,4,4,3,3,3,3,4,4,5,9
 Hough,1400,1374,1316,1244,1208,1156,1098,1030,483,589,604,666,638,632,664,700
 Jefferson,54,54,55,43,35,27,22,20,149,135,130,139,137,136,135,130
 Kamm's,18,16,14,14,12,14,14,12,112,116,117,121,122,117,117,120
 Kinsman,1066,1055,985,929,877,818,768,750,139,257,278,316,324,343,396,405
 Lee-Harvard,78,77,58,57,36,41,34,30,67,60,62,64,67,62,64,64
 Lee-Seville,343,329,302,287,273,257,249,212,253,260,266,275,282,288,288,316
 Mount Pleasant,867,787,676,552,478,402,341,278,275,260,269,329,300,243,268,240
 North Shore Collinwood,201,188,145,134,106,94,76,55,229,238,234,240,239,232,229,231
 Ohio City,104,113,115,106,102,108,97,85,291,290,304,320,330,320,328,338
