County,Neighborhood,"Residential foreclosure filings, number, 2017 (Property)","Residential foreclosure filings, number, 2016 (Property)","Residential foreclosure filings, number, 2015 (Property)","Residential foreclosure filings, number, 2014 (Property)","Residential foreclosure filings, number, 2013 (Property)","Residential foreclosure filings, number, 2012 (Property)","Residential foreclosure filings, number, 2011 (Property)","Residential foreclosure filings, number, 2010 (Property)","Armslength residential parcel sales - single family, number, 2017 (Property)","Armslength residential parcel sales - multi-family, number, 2017 (Property)","Armslength residential parcel sales - single family, number, 2016 (Property)","Armslength residential parcel sales - single family, number, 2015 (Property)","Armslength residential parcel sales - single family, number, 2014 (Property)","Armslength residential parcel sales - single family, number, 2013 (Property)","Armslength residential parcel sales - single family, number, 2012 (Property)","Armslength residential parcel sales - single family, number, 2011 (Property)","Armslength residential parcel sales - single family, number, 2010 (Property)","Armslength residential median sales price - single family, 2017 (Property)","Armslength residential median sales price - single family, 2016 (Property)","Armslength residential median sales price - single family, 2015 (Property)","Armslength residential median sales price - single family, 2014 (Property)","Armslength residential median sales price - single family, 2013 (Property)","Armslength residential median sales price - single family, 2012 (Property)","Armslength residential median sales price - single family, 2011 (Property)","Armslength residential median sales price - single family, 2010 (Property)","Single-family homes, number, 2017 (Property)","Single-family homes, number, 2016 (Property)","Single-family homes, number, 2015 (Property)","Single-family homes, number, 2014 (Property)","Single-family homes, number, 2013 (Property)","Single-family homes, number, 2012 (Property)","Single-family homes, number, 2011 (Property)","Single-family homes, number, 2010 (Property)","Median value single-family homes, 2017 (Property)","Median value single-family homes, 2016 (Property)","Median value single-family homes, 2015 (Property)","Median value single-family homes, 2014 (Property)","Median value single-family homes, 2013 (Property)","Median value single-family homes, 2012 (Property)","Median value single-family homes, 2011 (Property)","Median value single-family homes, 2010 (Property)"
Cuyahoga, Bellaire-Puritas,74,96,79,96,137,154,155,177,270,13,237,165,178,178,140,135,136,40950,38000,33000,29600,27600,27000,25100,30050,4909,4908,4910,4911,4918,4932,4933,4962,50700,50600,50500,54800,55100,55300,65400,65650
Cuyahoga, Broadway-Slavic Village,256,354,157,238,250,260,269,348,287,153,281,229,248,244,230,219,289,19900,14000,14137,15750,13350,12000,15000,11000,4639,4745,4857,4956,5055,5110,5169,5236,28000,27700,27400,26900,26700,26500,40000,40400
Cuyahoga, Brooklyn Centre,50,45,47,40,70,69,77,67,92,43,85,70,69,60,56,51,48,26250,22000,25900,21600,17750,14100,18900,20000,1520,1521,1531,1535,1540,1537,1536,1546,42300,42300,42400,44700,44850,44900,51300,51500
Cuyahoga, Buckeye-Shaker Square,75,124,79,64,105,115,124,118,61,88,62,62,42,45,46,37,40,30000,26321,36450,28448.5,19500,17350,22000,14250,1408,1426,1439,1441,1444,1437,1436,1419,45850,46050,46400,51400,51700,51800,64950,65900
Cuyahoga, Buckeye-Woodhill,60,94,47,51,54,60,49,55,30,37,24,29,29,39,15,27,24,24300,19250,14750,19750,22650,18000,20750,14350,721,733,746,757,766,774,786,796,23600,22000,21600,25000,24950,23050,32550,32500
Cuyahoga, Central,24,27,27,35,35,41,46,23,16,4,30,21,20,31,18,11,14,121500,60200,79700,112400,40000,51100,34900,28500,642,641,655,654,664,623,625,632,18700,18000,18000,18900,18800,18300,22900,22400
Cuyahoga, Clark-Fulton,43,39,27,65,57,64,67,78,67,61,53,61,59,50,42,45,46,23700,21500,20000,19900,16125,14550,13000,12750,1249,1250,1261,1267,1280,1306,1306,1325,35300,35400,35300,38700,38900,38700,43650,43900
Cuyahoga, Collinwood-Nottingham,137,115,104,110,128,154,174,211,134,84,116,90,92,95,82,76,91,21100,17200.5,16250,17700,15500,11500,11050,12000,2177,2197,2222,2238,2275,2314,2335,2389,32500,32800,32800,37700,37800,37700,49300,49800
Cuyahoga, Cudell,51,48,38,60,71,55,78,80,93,53,85,73,77,54,55,43,53,29000,25000,20000,20000,16382.5,20000,20000,16153,1525,1515,1523,1542,1549,1555,1560,1580,43500,43700,43800,46100,46200,46500,53000,53600
Cuyahoga, Cuyahoga Valley,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,297300,297300,297300,126900,126900,126900,135250,135250
Cuyahoga, Detroit Shoreway,45,39,47,59,65,61,116,82,169,84,113,108,118,89,72,68,63,60000,88000,30750,33200,18800,20302.5,28750,15100,1673,1654,1665,1660,1663,1656,1671,1677,42000,41150,40500,37550,37600,37650,40500,40600
Cuyahoga, Downtown,0,2,2,1,0,2,2,13,3,0,1,3,2,5,1,3,0,365000,273000,275000,336500,287719,307000,272650,0,30,32,31,31,31,31,31,31,58000,58000,58000,58000,58000,58000,36700,38300
Cuyahoga, Edgewater,11,5,13,15,20,25,27,31,27,34,26,37,32,27,22,18,20,135000,131750,165000,176500,111000,139000,130400,111250,640,636,636,636,637,636,638,633,102650,101850,102050,88050,88200,87900,93550,93500
Cuyahoga, Euclid-Green,68,28,36,33,41,63,66,70,49,25,60,32,34,47,33,23,35,26900,22900,12750,14500,17500,8500,14500,17500,1165,1164,1169,1169,1171,1177,1187,1191,29300,29250,29200,30100,30300,30200,58300,58700
Cuyahoga, Fairfax,44,45,49,89,62,51,73,79,48,14,48,29,30,24,29,27,20,25375,30500,60000,47250,31750,16000,14000,24600,988,989,1030,1048,1071,1075,1094,1109,18800,18300,17400,15000,14400,13800,21100,21400
Cuyahoga, Glenville,335,397,332,144,210,290,342,401,240,161,266,243,219,187,165,167,248,16250,14475,16400,16000,12000,13000,10000,6500,5326,5460,5572,5603,5668,5702,5762,5815,22700,22600,22400,24500,24400,24300,49200,49500
Cuyahoga, Goodrich-Kirtland Pk,11,6,5,13,7,8,9,6,17,19,6,7,11,10,10,7,5,28000,18400,21000,20000,15850,24250,22750,26400,321,321,324,330,328,331,332,335,19700,19700,19700,19000,19000,19000,28200,28200
Cuyahoga, Hopkins,2,2,2,0,3,5,2,4,5,0,3,5,5,3,4,3,3,100000,100000,95000,20000,91900,86500,30000,65000,100,100,100,100,100,100,100,100,95750,95750,95750,93800,93800,93800,108050,108050
Cuyahoga, Hough,115,110,59,66,73,81,78,87,44,24,45,42,41,43,43,37,53,16150,17100,10450,12000,19750,16025,9750,6450,1420,1464,1490,1508,1528,1548,1570,1569,17700,17600,17200,16150,16000,15800,24150,24000
Cuyahoga, Jefferson,109,112,109,112,165,194,192,229,300,38,215,235,196,192,166,187,189,56000,46250,41900,35000,30750,29942.5,27000,36000,5676,5679,5686,5680,5676,5686,5690,5715,58100,58200,58300,61600,61800,61900,74800,74800
Cuyahoga, Kamm's,70,100,80,110,116,194,148,200,497,31,496,410,356,350,296,262,268,116500,102250,91375,92000,85750,76500,71000,96750,8501,8504,8504,8506,8503,8502,8507,8514,94500,94600,94600,88100,88100,88300,103500,103750
Cuyahoga, Kinsman,87,100,39,44,83,42,66,63,40,41,48,33,39,41,20,24,31,22450,17000,15500,19800,18500,8500,10250,6500,875,894,926,948,981,1011,1006,1023,25700,25650,25500,29300,28800,29000,39200,39000
Cuyahoga, Lee-Harvard,133,127,99,110,152,175,142,191,222,4,244,191,145,160,128,108,118,39100,36400.5,22000,25050,21375,18750,21000,26500,4521,4519,4537,4531,4547,4558,4570,4585,56700,56800,57000,56100,56200,56200,70900,71000
Cuyahoga, Lee-Seville,62,75,54,51,66,87,50,73,116,0,90,88,57,60,55,36,48,31500,15250.5,21600,16535,16475,13100,14617,12500,1901,1916,1943,1954,1977,1996,2006,2023,35700,35400,35400,39000,38700,38700,53800,54000
Cuyahoga, Mount Pleasant,219,286,217,151,134,231,193,241,188,153,170,159,126,110,104,115,116,22100,13750,15000,13925,15050,10000,9000,9000,3115,3181,3273,3314,3348,3399,3419,3455,32300,32200,32200,32700,32700,32600,54300,54200
Cuyahoga, North Shore Collinwood,114,122,93,94,172,172,165,220,148,60,168,138,117,145,120,114,135,37965.5,40000,38750,36000,34000,27500,37000,39000,3427,3439,3457,3474,3490,3501,3512,3527,53300,53300,53500,53600,53800,53800,73900,74100
Cuyahoga, Ohio City,15,16,20,23,24,24,34,38,74,49,73,68,60,65,33,53,42,123375,107000,119855,142000,70500,92000,124900,128000,1016,995,983,973,970,967,960,959,56250,56400,51900,41700,40750,39900,39800,39900
Cuyahoga, Old Brooklyn,137,161,171,187,241,346,263,326,494,102,398,384,346,350,296,272,288,73000,60000,53429,51000,42150,43250,45000,59450,9629,9633,9637,9638,9637,9668,9675,9677,65500,65600,65600,70000,70200,70200,85000,85200
Cuyahoga, St.Clair-Superior,97,97,64,49,62,72,71,59,38,36,59,34,39,47,30,29,67,17950,12700,8500,14200,14600,8250,7500,8000,1016,1050,1079,1091,1113,1116,1140,1142,15550,15300,15100,14800,14900,14800,28700,28800
Cuyahoga, Stockyards,60,60,66,78,46,80,105,86,121,72,90,81,82,69,75,66,74,22000,18888,14000,19350,11100,11000,15500,15000,1708,1713,1742,1751,1779,1812,1823,1831,27000,26900,26800,29800,29800,29800,40500,40700
Cuyahoga, Tremont,16,14,18,24,23,23,35,36,85,48,61,58,65,63,58,39,35,165000,140000,120000,100000,130000,112000,53680,80000,1058,1043,1036,1024,1008,1013,1002,995,49000,48600,48100,39300,39300,39200,36850,36900
Cuyahoga, Union-Miles,163,248,207,120,140,305,249,345,296,90,322,236,209,209,165,201,190,19000,14250,15000,15000,11000,10000,10000,9516,5400,5457,5513,5537,5604,5669,5709,5755,28100,27900,27700,32400,32400,32100,51300,51600
Cuyahoga, University,5,11,8,8,8,5,8,7,10,7,19,19,9,10,8,5,13,340000,97500,269000,23000,349500,400811,45900,61950,257,263,270,271,270,271,265,259,66500,66500,66250,52100,51400,49100,45800,47600
Cuyahoga, West Boulevard,104,123,90,145,145,177,165,217,219,97,184,175,146,137,118,118,132,37600,34000,24850,24275,23000,20750,22150,24750,3872,3879,3880,3884,3889,3909,3916,3948,50700,50800,50900,55700,55800,55900,66800,66800
Cuyahoga, _Unknown neighborhood,18,54,51,47,56,74,84,83,58,0,44,22,14,6,4,1,0,329950,320000,303250,288750,267050,275880.5,335000,0,1406,849,604,447,249,116,64,85,262150,285900,279050,257300,255800,241700,231500,139900
Cuyahoga,Bay Village,24,24,25,17,48,55,50,65,374,0,334,346,278,261,263,189,200,225000,208500,205000,177500,183000,187000,185000,190000,6103,6096,6094,6106,6103,6101,6099,6103,198300,197500,196800,182800,182400,182200,185400,185500
Cuyahoga,Beachwood,9,13,20,17,16,36,18,38,165,0,168,141,121,137,103,107,109,280000,281000,263000,255000,247500,236000,220000,249900,3166,3160,3160,3158,3160,3156,3154,3146,272050,271100,271500,258400,258050,258400,261000,261350
Cuyahoga,Bedford,75,76,71,74,95,166,136,147,212,13,172,171,159,156,120,126,112,72600,69500,63500,59900,57000,48775,53000,63250,3963,3962,3971,3979,3975,3979,3985,3998,75900,75900,75900,80100,80200,80300,94200,94500
Cuyahoga,Bedford Heights,52,52,46,61,54,108,69,111,100,0,70,99,88,81,76,63,55,88100,90000,80000,74000,72500,77500,71000,63500,2607,2606,2607,2607,2602,2603,2599,2590,99100,99100,99100,96500,96500,96800,112200,112300
Cuyahoga,Bentleyville,2,1,0,0,0,4,6,5,15,0,11,21,16,15,11,11,14,372000,680000,440000,552500,502500,525000,514000,609750,314,314,316,318,318,319,318,316,500900,497300,495150,497050,497050,494900,495750,498600
Cuyahoga,Berea,51,58,69,66,78,102,82,122,310,8,285,239,232,203,150,171,175,130000,120750,118000,111387.5,113500,102750,105000,116000,5942,5947,5942,5942,5931,5924,5890,5854,117600,117400,117400,120000,120000,119500,120200,120100
Cuyahoga,Bratenahl,3,6,1,7,9,7,5,19,16,4,23,31,15,15,12,12,17,302500,245000,295000,235000,260500,226000,254500,270000,386,387,384,383,383,383,382,381,269550,268900,269050,275000,275000,275000,297250,297000
Cuyahoga,Brecksville,23,26,10,26,23,29,34,38,182,0,188,148,136,163,135,113,115,269450,264750,245250,236750,244500,225000,215000,238800,4364,4356,4352,4351,4351,4346,4345,4341,239150,238550,238350,230800,230700,230700,238500,238600
Cuyahoga,Broadview Heights,31,36,27,30,43,61,56,68,227,0,253,241,199,224,166,140,168,258000,244500,229500,223000,222500,230500,211250,222500,5641,5636,5619,5613,5605,5585,5569,5545,218400,217700,217000,210000,209900,209500,210300,210000
Cuyahoga,Brook Park,73,64,65,98,115,123,98,133,274,0,295,240,213,191,148,154,149,118500,110000,98000,88500,92000,89000,92750,104000,6838,6841,6842,6844,6847,6849,6846,6846,97800,97800,97700,99800,99800,99800,114000,114000
